100	0.000000	100
600	0.000002	600
1100	0.000003	1100
1600	0.000004	1600
2100	0.000005	2100
2600	0.000007	2600
3100	0.000009	3100
3600	0.000010	3600
4100	0.000011	4100
4600	0.000013	4600
5100	0.000014	5100
5600	0.000008	5600
6100	0.000018	6100
6600	0.000004	6600
7100	0.000010	7100
7600	0.000022	7600
8100	0.000022	8100
8600	0.000025	8600
9100	0.000028	9100
9600	0.000027	9600
10100	0.000010	10100
10600	0.000018	10600
11100	0.000032	11100
11600	0.000003	11600
12100	0.000029	12100
12600	0.000020	12600
13100	0.000005	13100
13600	0.000043	13600
14100	0.000042	14100
14600	0.000042	14600
